task_type,method,n_items,composite_0_4,normalized_percent,unsupported_claims_per_question
single_paper,MS3 Agent,60,3.675,91.875,0.5833333333333334
single_paper,DeepSeek V4 Pro,60,3.15,78.75,1.1666666666666667
single_paper,Kimi K3,60,3.504166666666667,87.60416666666667,0.8166666666666667
single_paper,GLM-5.2,60,3.375,84.375,0.8666666666666667
single_paper,PaperQA2,60,3.0375,75.9375,1.65
single_paper,OpenScholar,60,2.4,60.0,2.5833333333333335
cross_paper,MS3 Agent,60,2.933333333333333,73.33333333333333,1.95
cross_paper,DeepSeek V4 Pro,60,2.1625,54.0625,2.6666666666666665
cross_paper,Kimi K3,60,2.675,66.875,2.2333333333333334
cross_paper,GLM-5.2,60,2.3875,59.68750000000001,2.5
cross_paper,PaperQA2,60,2.3916666666666666,59.791666666666664,2.783333333333333
cross_paper,OpenScholar,60,2.0166666666666666,50.416666666666664,3.2333333333333334
