year,mode,share_percent
2020,Existing trajectory,33.1
2020,Complete-path recombination,45.6
2020,Local-link novelty,21.3
2021,Existing trajectory,42.2
2021,Complete-path recombination,42.5
2021,Local-link novelty,15.3
2022,Existing trajectory,47.7
2022,Complete-path recombination,43.8
2022,Local-link novelty,8.5
2023,Existing trajectory,47.7
2023,Complete-path recombination,42.8
2023,Local-link novelty,9.5
2024,Existing trajectory,52.0
2024,Complete-path recombination,42.8
2024,Local-link novelty,5.2
2025,Existing trajectory,53.4
2025,Complete-path recombination,42.6
2025,Local-link novelty,4.0
