cutoff,endpoint,model,selected_evidence_composite,selected_fusion_mode,selected_weight,average_precision,positives,candidate_universe,hits_at_20,precision_at_20,hits_at_50,precision_at_50,hits_at_100,precision_at_100,hits_at_200,precision_at_200
2018,closed_in_future,role_agnostic,temporal_validation_momentum,head_taper_percentile_blend_40,0.2,0.18572809741594043,275,9053,14,0.7,19,0.38,32,0.32,52,0.26
2018,closed_in_future,typed_structure,temporal_validation_momentum,head_taper_percentile_blend_40,0.2,0.17373053245335615,275,9053,11,0.55,19,0.38,29,0.29,50,0.25
2018,closed_in_future,nested_structure_plus_evidence,temporal_validation_momentum,head_taper_percentile_blend_40,0.2,0.16310002620322522,275,9053,11,0.55,16,0.32,29,0.29,52,0.26
2018,validated_closure,role_agnostic,temporal_validation_momentum,head_taper_percentile_blend_40,0.2,0.1525012688312278,219,9053,12,0.6,17,0.34,25,0.25,39,0.195
2018,validated_closure,typed_structure,temporal_validation_momentum,head_taper_percentile_blend_40,0.2,0.14840140859686132,219,9053,9,0.45,17,0.34,25,0.25,42,0.21
2018,validated_closure,nested_structure_plus_evidence,temporal_validation_momentum,head_taper_percentile_blend_40,0.2,0.1425253141275864,219,9053,10,0.5,15,0.3,25,0.25,44,0.22
2019,closed_in_future,role_agnostic,temporal_validation_momentum,structure_gated_percentile_blend,0.3,0.202372380587861,359,12252,13,0.65,23,0.46,35,0.35,60,0.3
2019,closed_in_future,typed_structure,temporal_validation_momentum,structure_gated_percentile_blend,0.3,0.19268436625090116,359,12252,12,0.6,21,0.42,36,0.36,55,0.275
2019,closed_in_future,nested_structure_plus_evidence,temporal_validation_momentum,structure_gated_percentile_blend,0.3,0.1837739348809775,359,12252,10,0.5,24,0.48,37,0.37,54,0.27
2019,validated_closure,role_agnostic,temporal_validation_momentum,structure_gated_percentile_blend,0.3,0.17173546616542018,289,12252,10,0.5,18,0.36,29,0.29,51,0.255
2019,validated_closure,typed_structure,temporal_validation_momentum,structure_gated_percentile_blend,0.3,0.161913199819615,289,12252,9,0.45,16,0.32,30,0.3,47,0.235
2019,validated_closure,nested_structure_plus_evidence,temporal_validation_momentum,structure_gated_percentile_blend,0.3,0.15582337722520603,289,12252,8,0.4,21,0.42,31,0.31,46,0.23
2020,closed_in_future,role_agnostic,temporal_validation_momentum,global_percentile_blend,0.3,0.1729352344413398,421,15680,12,0.6,23,0.46,31,0.31,56,0.28
2020,closed_in_future,typed_structure,temporal_validation_momentum,global_percentile_blend,0.3,0.16321522931216167,421,15680,11,0.55,23,0.46,34,0.34,51,0.255
2020,closed_in_future,nested_structure_plus_evidence,temporal_validation_momentum,global_percentile_blend,0.3,0.14873402238940545,421,15680,7,0.35,23,0.46,35,0.35,52,0.26
2020,validated_closure,role_agnostic,temporal_validation_momentum,global_percentile_blend,0.3,0.15797598185419753,342,15680,10,0.5,21,0.42,27,0.27,49,0.245
2020,validated_closure,typed_structure,temporal_validation_momentum,global_percentile_blend,0.3,0.14716314931883046,342,15680,9,0.45,21,0.42,30,0.3,45,0.225
2020,validated_closure,nested_structure_plus_evidence,temporal_validation_momentum,global_percentile_blend,0.3,0.13142677706304137,342,15680,6,0.3,20,0.4,31,0.31,44,0.22
2021,closed_in_future,role_agnostic,temporal_closure_v10,structure_gated_percentile_blend,0.3,0.16143256874914072,499,20305,9,0.45,20,0.4,33,0.33,57,0.285
2021,closed_in_future,typed_structure,temporal_closure_v10,structure_gated_percentile_blend,0.3,0.15902717798350155,499,20305,12,0.6,23,0.46,32,0.32,53,0.265
2021,closed_in_future,nested_structure_plus_evidence,temporal_closure_v10,structure_gated_percentile_blend,0.3,0.1554422880582007,499,20305,10,0.5,20,0.4,35,0.35,57,0.285
2021,validated_closure,role_agnostic,temporal_closure_v10,structure_gated_percentile_blend,0.3,0.14414652763960026,391,20305,8,0.4,17,0.34,28,0.28,49,0.245
2021,validated_closure,typed_structure,temporal_closure_v10,structure_gated_percentile_blend,0.3,0.14176406111712686,391,20305,11,0.55,20,0.4,27,0.27,46,0.23
2021,validated_closure,nested_structure_plus_evidence,temporal_closure_v10,structure_gated_percentile_blend,0.3,0.1419261825052444,391,20305,10,0.5,17,0.34,30,0.3,50,0.25
