paper_id,mechanism_id,title,year,review,material,sensor,signal,system,core,trajectory,validation_level,strong_validation_marker,weak_time_only_marker,L3plus,L4,period,metadata_review,material_family,sensor_family,signal_family,system_family,mode,mask
P_000851,MO_001,A MXene-bridged triboelectric sensor for tinyML-empowered joint biomechanics,2025,0,MXene,wearable/e-skin,voltage output,health monitoring,wearable/e-skin -> voltage output -> health monitoring,MXene -> wearable/e-skin -> voltage output -> health monitoring,4,1,0,1,1,2022-25,0,carbon,wearable/e-skin,voltage,healthcare,Material implementation,"(1, 0, 0)"
P_000895,MO_001,Origami single-end capacitive sensing for continuous shape estimation of morphing structures,2024,0,textile/yarn/fabric,capacitive sensor,capacitance change,wireless/IoT,capacitive sensor -> capacitance change -> wireless/IoT,textile/yarn/fabric -> capacitive sensor -> capacitance change -> wireless/IoT,4,1,0,1,1,2022-25,0,textile/fibre,electrical,capacitance,interface/readout,Higher-order recombination,"(0, 0, 0)"
P_001013,MO_001,"Self-Healing, Self-Adhesive and Stable Organohydrogel-Based Stretchable Oxygen Sensor with High Performance at Room Temperature",2022,0,hydrogel,electrode,current signal,health monitoring,electrode -> current signal -> health monitoring,hydrogel -> electrode -> current signal -> health monitoring,4,1,0,1,1,2022-25,0,hydrogel/organogel,bio/electrochemical,current,healthcare,Higher-order recombination,"(0, 0, 0)"
P_001954,MO_001,Flexible Multimodal Sensing System Based on a Vertical Stacking Strategy for Efficiently Decoupling Multiple Signals,2024,0,Ag/AgNW,strain sensor,resistance/conductivity change,HMI,strain sensor -> resistance/conductivity change -> HMI,Ag/AgNW -> strain sensor -> resistance/conductivity change -> HMI,4,1,0,1,1,2022-25,0,metal,mechanical,resistance/conductance,other,Higher-order recombination,"(0, 0, 0)"
P_002578,MO_001,Piezotronic Sensor for Bimodal Monitoring of Achilles Tendon Behavior,2025,0,Ag/AgNW,piezoelectric sensor,resistance/conductivity change,wearable/flexible electronics,piezoelectric sensor -> resistance/conductivity change -> wearable/flexible electronics,Ag/AgNW -> piezoelectric sensor -> resistance/conductivity change -> wearable/flexible electronics,4,1,0,1,1,2022-25,0,metal,self-powered,resistance/conductance,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
P_003296,MO_001,Laser fabrication of Ti stent and facile MEMS flow sensor integration for implantable respiration monitoring,2025,0,Au,temperature sensor,voltage output,health monitoring,temperature sensor -> voltage output -> health monitoring,Au -> temperature sensor -> voltage output -> health monitoring,4,1,0,1,1,2022-25,0,metal,thermal,voltage,healthcare,Higher-order recombination,"(0, 0, 0)"
P_005086,MO_001,AI-Driven Smart Sportswear for Real-Time Fitness Monitoring Using Textile Strain Sensors,2025,0,graphene/rGO,strain sensor,resistance/conductivity change,wireless/IoT,strain sensor -> resistance/conductivity change -> wireless/IoT,graphene/rGO -> strain sensor -> resistance/conductivity change -> wireless/IoT,4,1,0,1,1,2022-25,0,carbon,mechanical,resistance/conductance,interface/readout,Higher-order recombination,"(0, 0, 0)"
P_005521,MO_001,Estimating gait parameters from sEMG signals using machine learning techniques under different power capacity of muscle,2025,0,Ag/AgNW,accelerometer/gyroscope,frequency/wavelength signal,health monitoring,accelerometer/gyroscope -> frequency/wavelength signal -> health monitoring,Ag/AgNW -> accelerometer/gyroscope -> frequency/wavelength signal -> health monitoring,4,1,0,1,1,2022-25,0,metal,mechanical,frequency/wavelength,healthcare,Higher-order recombination,"(0, 0, 0)"
P_005616,MO_001,Cocoon-mimetic feature-matched interface for flexible system,2025,0,liquid metal,electrode,resistance/conductivity change,motion monitoring,electrode -> resistance/conductivity change -> motion monitoring,liquid metal -> electrode -> resistance/conductivity change -> motion monitoring,4,1,0,1,1,2022-25,0,metal,bio/electrochemical,resistance/conductance,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_008795,MO_001,Control of polymers’ amorphous-crystalline transition enables miniaturization and multifunctional integration for hydrogel bioelectronics,2024,0,graphene/rGO,fiber sensor,impedance signal,health monitoring,fiber sensor -> impedance signal -> health monitoring,graphene/rGO -> fiber sensor -> impedance signal -> health monitoring,4,1,0,1,1,2022-25,0,carbon,optical,resistance/conductance,healthcare,Transduction novelty,"(0, 1, 0)"
P_009206,MO_001,Smart and repeatable easy-repairing and self-sensing composites with enhanced mechanical performance for extended components life,2022,0,carbon fiber,resistive sensor,resistance/conductivity change,health monitoring,resistive sensor -> resistance/conductivity change -> health monitoring,carbon fiber -> resistive sensor -> resistance/conductivity change -> health monitoring,4,1,0,1,1,2022-25,0,carbon,electrical,resistance/conductance,healthcare,Higher-order recombination,"(0, 0, 0)"
P_015079,MO_001,Human sweat-based wearable glucose sensor on cotton fabric for real-time monitoring,2022,0,Cu/Ni,gas/chemical sensor,current signal,wearable/flexible electronics,gas/chemical sensor -> current signal -> wearable/flexible electronics,Cu/Ni -> gas/chemical sensor -> current signal -> wearable/flexible electronics,4,1,0,1,1,2022-25,0,metal,gas/chemical,current,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
P_019026,MO_004,2D material-based sensing devices: an update,2023,0,MoS2/TMD,optical sensor,optical/fluorescence,health monitoring,optical sensor -> optical/fluorescence -> health monitoring,MoS2/TMD -> optical sensor -> optical/fluorescence -> health monitoring,4,1,0,1,1,2022-25,1,other,optical,frequency/wavelength,healthcare,Higher-order recombination,"(0, 0, 0)"
P_019534,MO_001,Wearables for running gait analysis: A study protocol,2023,0,textile/yarn/fabric,pressure sensor,frequency/wavelength signal,wearable/flexible electronics,pressure sensor -> frequency/wavelength signal -> wearable/flexible electronics,textile/yarn/fabric -> pressure sensor -> frequency/wavelength signal -> wearable/flexible electronics,4,1,0,1,1,2022-25,1,textile/fibre,mechanical,frequency/wavelength,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
P_031989,MO_001,Magnetostrictive bi-perceptive flexible sensor for tracking bend and position of human and robot hand,2024,0,PET/PI/PVA,wearable/e-skin,voltage output,motion monitoring,wearable/e-skin -> voltage output -> motion monitoring,PET/PI/PVA -> wearable/e-skin -> voltage output -> motion monitoring,4,1,0,1,1,2022-25,0,elastomer/polymer,wearable/e-skin,voltage,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_034220,MO_001,"Electronic tongue: active channels, molecular sieves, receptors and arrays",2025,0,graphene/rGO,pH sensor,voltage output,health monitoring,pH sensor -> voltage output -> health monitoring,graphene/rGO -> pH sensor -> voltage output -> health monitoring,4,1,0,1,1,2022-25,1,carbon,gas/chemical,voltage,healthcare,Higher-order recombination,"(0, 0, 0)"
P_069022,MO_001,Laccase-immobilized biochar as a unique host matrix for electrochemical detection of gallic acid: a sustainable engineering approach,2025,0,carbon fiber,electrode,physiological signal,environmental monitoring,electrode -> physiological signal -> environmental monitoring,carbon fiber -> electrode -> physiological signal -> environmental monitoring,4,1,0,1,1,2022-25,0,carbon,bio/electrochemical,other,environmental,Application transfer,"(0, 0, 1)"
P_069971,MO_001,A WEARABLE SYSTEM FOR RESPIRATORY AND PACE MONITORING IN RUNNING ACTIVITY,2024,0,textile/yarn/fabric,strain sensor,mechanical deformation,wearable/flexible electronics,strain sensor -> mechanical deformation -> wearable/flexible electronics,textile/yarn/fabric -> strain sensor -> mechanical deformation -> wearable/flexible electronics,4,1,0,1,1,2022-25,0,textile/fibre,mechanical,mechanical,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
P_084738,MO_001,Concept for an irradiation experiment to test a laser-induced breakdown spectroscopy off-gas sensor for molten salt systems,2023,0,textile/yarn/fabric,fiber sensor,temperature/thermal signal,environmental monitoring,fiber sensor -> temperature/thermal signal -> environmental monitoring,textile/yarn/fabric -> fiber sensor -> temperature/thermal signal -> environmental monitoring,4,1,0,1,1,2022-25,0,textile/fibre,optical,other,environmental,Transduction novelty,"(0, 1, 0)"
P_089087,MO_001,Battery-less long-range wireless fluidic sensing system using flexible additive manufacturing ambient energy harvester and microfluidics,2024,0,Ag/AgNW,biosensor/electrochemical,resistance/conductivity change,self-powered/energy storage,biosensor/electrochemical -> resistance/conductivity change -> self-powered/energy storage,Ag/AgNW -> biosensor/electrochemical -> resistance/conductivity change -> self-powered/energy storage,4,1,0,1,1,2022-25,0,metal,gas/chemical,resistance/conductance,energy/self-powered,Higher-order recombination,"(0, 0, 0)"
P_094227,MO_001,Investigating the effect of outsole configurations on rotational and translational traction using a mechanical prosthetic foot,2023,0,TPU/PU,pressure sensor,mechanical deformation,robotics/tactile,pressure sensor -> mechanical deformation -> robotics/tactile,TPU/PU -> pressure sensor -> mechanical deformation -> robotics/tactile,4,1,0,1,1,2022-25,0,other,mechanical,mechanical,motion/human activity,Higher-order recombination,"(0, 0, 0)"
P_095439,MO_001,A clinical comparison of a digital versus conventional design methodology for transtibial prosthetic interfaces,2024,0,silicone/elastomer,temperature sensor,temperature/thermal signal,HMI,temperature sensor -> temperature/thermal signal -> HMI,silicone/elastomer -> temperature sensor -> temperature/thermal signal -> HMI,4,1,0,1,1,2022-25,0,elastomer/polymer,thermal,other,other,Application transfer,"(0, 0, 1)"
P_MS3T_000485,MO_001,Electro-spun nanofibers-based triboelectric nanogenerators in wearable electronics: status and perspectives,2025,0,Cu/Ni,triboelectric sensor,current signal,health monitoring,triboelectric sensor -> current signal -> health monitoring,Cu/Ni -> triboelectric sensor -> current signal -> health monitoring,4,1,0,1,1,2022-25,1,metal,self-powered,current,healthcare,Higher-order recombination,"(0, 0, 0)"
P_MS3T_001138,MO_001,"High-sensitivity, ultrawide linear range, antibacterial textile pressure sensor based on chitosan/MXene hierarchical architecture",2024,0,MXene,pressure sensor,performance metric,motion monitoring,pressure sensor -> performance metric -> motion monitoring,MXene -> pressure sensor -> performance metric -> motion monitoring,4,1,0,1,1,2022-25,0,carbon,mechanical,other,motion/human activity,Application transfer,"(0, 0, 1)"
P_MS3T_004037,MO_002,Flexible carbon cloth electrode: pioneering the future of electrochemical sensing devices,2025,0,graphene/rGO,biosensor/electrochemical,performance metric,wearable/flexible electronics,biosensor/electrochemical -> performance metric -> wearable/flexible electronics,graphene/rGO -> biosensor/electrochemical -> performance metric -> wearable/flexible electronics,4,1,0,1,1,2022-25,1,carbon,gas/chemical,other,wearable/e-skin,Higher-order recombination,"(0, 0, 0)"
