cutoff,endpoint,positive_trajectory,negative_trajectory,positive_role_score,negative_role_score,positive_node_popularity,negative_node_popularity,role_agnostic_win,typed_structure_win,nested_structure_plus_evidence_win
2018,closed_in_future,Ag/AgNW -> biosensor/electrochemical -> current signal -> wearable/flexible electronics,PPy/PANI -> gas/chemical sensor -> resistance/conductivity change -> motion monitoring,0.9669686257,0.9587936368,0.8478789218,0.8470503756,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> biosensor/electrochemical -> current signal -> wearable/flexible electronics,Cu/Ni -> electrode -> capacitance change -> self-powered/energy storage,0.9669686257,0.9742045957,0.8478789218,0.8379363677,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> biosensor/electrochemical -> current signal -> wearable/flexible electronics,ZnO/oxide -> resistive sensor -> resistance/conductivity change -> health monitoring,0.9669686257,0.952386213,0.8478789218,0.8335174547,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> biosensor/electrochemical -> current signal -> wearable/flexible electronics,Cu/Ni -> triboelectric sensor -> voltage output -> wearable/flexible electronics,0.9669686257,0.9510605391,0.8478789218,0.8249558109,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> biosensor/electrochemical -> current signal -> wearable/flexible electronics,ionogel/ionic liquid -> electrode -> capacitance change -> wearable/flexible electronics,0.9669686257,0.9565289439,0.8478789218,0.814516129,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> capacitive sensor -> capacitance change -> environmental monitoring,ZnO/oxide -> electrode -> mechanical deformation -> health monitoring,0.4745912506,0.4745912506,0.7408307556,0.7391184269,0.5,1.0,1.0
2018,closed_in_future,Ag/AgNW -> capacitive sensor -> capacitance change -> environmental monitoring,textile/yarn/fabric -> triboelectric sensor -> current signal -> environmental monitoring,0.4745912506,0.4803358374,0.7408307556,0.738068935,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> capacitive sensor -> capacitance change -> environmental monitoring,cellulose/cotton/silk -> gas/chemical sensor -> voltage output -> wearable/flexible electronics,0.4745912506,0.4642068051,0.7408307556,0.7376270437,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> capacitive sensor -> capacitance change -> environmental monitoring,PDMS/Ecoflex -> capacitive sensor -> resistance/conductivity change -> environmental monitoring,0.4745912506,0.4689571365,0.7408307556,0.7299491825,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> capacitive sensor -> capacitance change -> environmental monitoring,hydrogel -> capacitive sensor -> resistance/conductivity change -> environmental monitoring,0.4745912506,0.4689571365,0.7408307556,0.7299491825,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> capacitive sensor -> capacitance change -> health monitoring,PVDF -> strain sensor -> resistance/conductivity change -> robotics/tactile,0.7942996023,0.7909854176,0.8492045957,0.8476027397,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> capacitive sensor -> capacitance change -> health monitoring,textile/yarn/fabric -> triboelectric sensor -> current signal -> health monitoring,0.7942996023,0.7975033142,0.8492045957,0.8464427751,0.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> capacitive sensor -> capacitance change -> health monitoring,CNT -> gas/chemical sensor -> voltage output -> wireless/IoT,0.7942996023,0.7978899691,0.8492045957,0.8455589925,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> capacitive sensor -> capacitance change -> health monitoring,PEDOT:PSS -> strain sensor -> physiological signal -> health monitoring,0.7942996023,0.7883893062,0.8492045957,0.8474370305,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> capacitive sensor -> capacitance change -> health monitoring,CNT -> electrode -> optical/fluorescence -> environmental monitoring,0.7942996023,0.7958462218,0.8492045957,0.8424657534,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> capacitive sensor -> capacitance change -> motion monitoring,textile/yarn/fabric -> accelerometer/gyroscope -> voltage output -> motion monitoring,0.8311975254,0.8308661069,0.8225806452,0.8231330093,1.0,1.0,1.0
2018,closed_in_future,Ag/AgNW -> capacitive sensor -> capacitance change -> motion monitoring,PDMS/Ecoflex -> electrode -> physiological signal -> health monitoring,0.8311975254,0.8294299602,0.8225806452,0.8204264251,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> capacitive sensor -> capacitance change -> motion monitoring,CNT -> pressure sensor -> frequency/wavelength signal -> health monitoring,0.8311975254,0.8292090146,0.8225806452,0.8199292974,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> capacitive sensor -> capacitance change -> motion monitoring,PDMS/Ecoflex -> strain sensor -> physiological signal -> health monitoring,0.8311975254,0.8326889085,0.8225806452,0.8134666372,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> capacitive sensor -> capacitance change -> motion monitoring,Ag/AgNW -> pressure sensor -> voltage output -> portable electronics,0.8311975254,0.8203159523,0.8225806452,0.8224701723,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> capacitive sensor -> capacitance change -> robotics/tactile,MXene -> electrode -> resistance/conductivity change -> HMI,0.7191780822,0.721166593,0.6011931065,0.6066615113,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> capacitive sensor -> capacitance change -> robotics/tactile,nanomaterial -> electrode -> resistance/conductivity change -> HMI,0.7191780822,0.721166593,0.6011931065,0.6066615113,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> capacitive sensor -> capacitance change -> robotics/tactile,textile/yarn/fabric -> tactile sensor -> impedance signal -> health monitoring,0.7191780822,0.724922669,0.6011931065,0.6035130358,0.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> capacitive sensor -> capacitance change -> robotics/tactile,Au -> accelerometer/gyroscope -> current signal -> health monitoring,0.7191780822,0.7132677861,0.6011931065,0.6069929297,1.0,0.0,0.0
2018,closed_in_future,Ag/AgNW -> capacitive sensor -> capacitance change -> robotics/tactile,graphene/rGO -> pressure sensor -> frequency/wavelength signal -> portable electronics,0.7191780822,0.7111135661,0.6011931065,0.6085947857,1.0,0.0,0.0
