cutoff,method,rank,trajectory,material,sensor,signal,system,ranking_score,closed_in_future,validated_closure
2018,role_agnostic,1,graphene/rGO -> electrode -> resistance/conductivity change -> health monitoring,graphene/rGO,electrode,resistance/conductivity change,health monitoring,1.0,0,0
2018,role_agnostic,2,CNT -> electrode -> resistance/conductivity change -> wearable/flexible electronics,CNT,electrode,resistance/conductivity change,wearable/flexible electronics,0.9998895272,1,1
2018,role_agnostic,3,textile/yarn/fabric -> strain sensor -> resistance/conductivity change -> wearable/flexible electronics,textile/yarn/fabric,strain sensor,resistance/conductivity change,wearable/flexible electronics,0.9997790544,1,0
2018,role_agnostic,4,graphene/rGO -> pressure sensor -> resistance/conductivity change -> wearable/flexible electronics,graphene/rGO,pressure sensor,resistance/conductivity change,wearable/flexible electronics,0.9996685815,1,1
2018,role_agnostic,5,graphene/rGO -> electrode -> resistance/conductivity change -> motion monitoring,graphene/rGO,electrode,resistance/conductivity change,motion monitoring,0.9995581087,1,1
2018,role_agnostic,6,CNT -> electrode -> resistance/conductivity change -> health monitoring,CNT,electrode,resistance/conductivity change,health monitoring,0.9994476359,1,1
2018,role_agnostic,7,graphene/rGO -> strain sensor -> resistance/conductivity change -> environmental monitoring,graphene/rGO,strain sensor,resistance/conductivity change,environmental monitoring,0.9993371631,0,0
2018,role_agnostic,8,graphene/rGO -> electrode -> current signal -> wearable/flexible electronics,graphene/rGO,electrode,current signal,wearable/flexible electronics,0.9992266902,1,1
2018,role_agnostic,9,Au -> strain sensor -> resistance/conductivity change -> wearable/flexible electronics,Au,strain sensor,resistance/conductivity change,wearable/flexible electronics,0.9991162174,1,0
2018,role_agnostic,10,graphene/rGO -> gas/chemical sensor -> resistance/conductivity change -> health monitoring,graphene/rGO,gas/chemical sensor,resistance/conductivity change,health monitoring,0.9990057446,0,0
2018,role_agnostic,11,CNT -> pressure sensor -> resistance/conductivity change -> health monitoring,CNT,pressure sensor,resistance/conductivity change,health monitoring,0.9988952718,1,1
2018,role_agnostic,12,Ag/AgNW -> electrode -> resistance/conductivity change -> health monitoring,Ag/AgNW,electrode,resistance/conductivity change,health monitoring,0.9987847989,0,0
2018,role_agnostic,13,textile/yarn/fabric -> electrode -> resistance/conductivity change -> health monitoring,textile/yarn/fabric,electrode,resistance/conductivity change,health monitoring,0.9986743261,0,0
2018,role_agnostic,14,graphene/rGO -> temperature sensor -> resistance/conductivity change -> wearable/flexible electronics,graphene/rGO,temperature sensor,resistance/conductivity change,wearable/flexible electronics,0.9985638533,1,1
2018,role_agnostic,15,textile/yarn/fabric -> electrode -> capacitance change -> wearable/flexible electronics,textile/yarn/fabric,electrode,capacitance change,wearable/flexible electronics,0.9984533805,0,0
2018,role_agnostic,16,textile/yarn/fabric -> pressure sensor -> resistance/conductivity change -> wearable/flexible electronics,textile/yarn/fabric,pressure sensor,resistance/conductivity change,wearable/flexible electronics,0.9983429076,1,1
2018,role_agnostic,17,Cu/Ni -> strain sensor -> resistance/conductivity change -> motion monitoring,Cu/Ni,strain sensor,resistance/conductivity change,motion monitoring,0.9982324348,1,1
2018,role_agnostic,18,CNT -> electrode -> resistance/conductivity change -> motion monitoring,CNT,electrode,resistance/conductivity change,motion monitoring,0.998121962,1,1
2018,role_agnostic,19,graphene/rGO -> gas/chemical sensor -> resistance/conductivity change -> motion monitoring,graphene/rGO,gas/chemical sensor,resistance/conductivity change,motion monitoring,0.9980114892,1,1
2018,role_agnostic,20,Ag/AgNW -> pressure sensor -> resistance/conductivity change -> motion monitoring,Ag/AgNW,pressure sensor,resistance/conductivity change,motion monitoring,0.9979010163,1,1
2018,role_agnostic,21,Cu/Ni -> electrode -> resistance/conductivity change -> wearable/flexible electronics,Cu/Ni,electrode,resistance/conductivity change,wearable/flexible electronics,0.9977905435,0,0
2018,role_agnostic,22,graphene/rGO -> electrode -> voltage output -> wearable/flexible electronics,graphene/rGO,electrode,voltage output,wearable/flexible electronics,0.9976800707,1,1
2018,role_agnostic,23,CNT -> pressure sensor -> resistance/conductivity change -> motion monitoring,CNT,pressure sensor,resistance/conductivity change,motion monitoring,0.9975695979,0,0
2018,role_agnostic,24,graphene/rGO -> resistive sensor -> resistance/conductivity change -> wearable/flexible electronics,graphene/rGO,resistive sensor,resistance/conductivity change,wearable/flexible electronics,0.9974591251,0,0
2018,role_agnostic,25,Au -> electrode -> resistance/conductivity change -> health monitoring,Au,electrode,resistance/conductivity change,health monitoring,0.9973486522,0,0
2018,role_agnostic,26,Ag/AgNW -> temperature sensor -> resistance/conductivity change -> wearable/flexible electronics,Ag/AgNW,temperature sensor,resistance/conductivity change,wearable/flexible electronics,0.9972381794,1,1
2018,role_agnostic,27,textile/yarn/fabric -> pressure sensor -> resistance/conductivity change -> motion monitoring,textile/yarn/fabric,pressure sensor,resistance/conductivity change,motion monitoring,0.9971277066,0,0
2018,role_agnostic,28,textile/yarn/fabric -> gas/chemical sensor -> resistance/conductivity change -> wearable/flexible electronics,textile/yarn/fabric,gas/chemical sensor,resistance/conductivity change,wearable/flexible electronics,0.9970172338,0,0
2018,role_agnostic,29,textile/yarn/fabric -> electrode -> resistance/conductivity change -> motion monitoring,textile/yarn/fabric,electrode,resistance/conductivity change,motion monitoring,0.9969067609,0,0
2018,role_agnostic,30,CNT -> strain sensor -> resistance/conductivity change -> environmental monitoring,CNT,strain sensor,resistance/conductivity change,environmental monitoring,0.9967962881,0,0
2018,role_agnostic,31,CNT -> gas/chemical sensor -> resistance/conductivity change -> wearable/flexible electronics,CNT,gas/chemical sensor,resistance/conductivity change,wearable/flexible electronics,0.9966858153,0,0
2018,role_agnostic,32,textile/yarn/fabric -> electrode -> voltage output -> wearable/flexible electronics,textile/yarn/fabric,electrode,voltage output,wearable/flexible electronics,0.9965753425,0,0
2018,role_agnostic,33,graphene/rGO -> electrode -> capacitance change -> health monitoring,graphene/rGO,electrode,capacitance change,health monitoring,0.9964648696,0,0
2018,role_agnostic,34,Au -> pressure sensor -> resistance/conductivity change -> wearable/flexible electronics,Au,pressure sensor,resistance/conductivity change,wearable/flexible electronics,0.9963543968,1,1
2018,role_agnostic,35,Ag/AgNW -> electrode -> capacitance change -> wearable/flexible electronics,Ag/AgNW,electrode,capacitance change,wearable/flexible electronics,0.996243924,0,0
