paper_id,mechanism_id,title,year,review,material,sensor,signal,system,core,trajectory,validation_level,strong_validation_marker,weak_time_only_marker,L3plus,L4,period
DL1234_0042_10.1016_j.nanoen.2021.106798,MO_001,A flexible triboelectric tactile sensor for simultaneous material and texture recognition,2021,0,Au,electrode,voltage output,wearable/flexible electronics,electrode -> voltage output -> wearable/flexible electronics,Au -> electrode -> voltage output -> wearable/flexible electronics,4,1,0,1,1,2018-21
DL1234_0224_10.1016_j.cej.2023.147981,MO_001,2D Ti3C2Tx-MXene nanosheets and graphene oxide based highly sensitive humidity sensor for wearable and flexible electronics,2023,0,graphene/rGO,humidity sensor,capacitance change,wearable/flexible electronics,humidity sensor -> capacitance change -> wearable/flexible electronics,graphene/rGO -> humidity sensor -> capacitance change -> wearable/flexible electronics,4,1,0,1,1,2022-25
HI_LOCAL_0084,MO_001,Facile preparation of porous MXene/cellulose nanofiber composite for highly-sensitive flexible piezoresistive sensors in e-skin,2025,0,MXene,pressure sensor,resistance/conductivity change,motion monitoring,pressure sensor -> resistance/conductivity change -> motion monitoring,MXene -> pressure sensor -> resistance/conductivity change -> motion monitoring,4,1,0,1,1,2022-25
HI_RETRY_10_1002_adma_201504021,MO_001,Rapid 3D Patterning of Poly(acrylic acid) Ionic Hydrogel for Miniature pH Sensors,2015,0,hydrogel,optical sensor,frequency/wavelength signal,portable electronics,optical sensor -> frequency/wavelength signal -> portable electronics,hydrogel -> optical sensor -> frequency/wavelength signal -> portable electronics,4,1,0,1,1,2010-17
HI_RETRY_10_1002_smll_202505017,MO_001,In‐Situ Vertical‐Contact Engineering of Laser‐Induced Graphene Nanotips for Ultra‐Sensitive Humidity Sensors,2025,0,graphene/rGO,humidity sensor,resistance/conductivity change,wearable/flexible electronics,humidity sensor -> resistance/conductivity change -> wearable/flexible electronics,graphene/rGO -> humidity sensor -> resistance/conductivity change -> wearable/flexible electronics,4,1,0,1,1,2022-25
P_000851,MO_001,A MXene-bridged triboelectric sensor for tinyML-empowered joint biomechanics,2025,0,MXene,wearable/e-skin,voltage output,health monitoring,wearable/e-skin -> voltage output -> health monitoring,MXene -> wearable/e-skin -> voltage output -> health monitoring,4,1,0,1,1,2022-25
P_000895,MO_001,Origami single-end capacitive sensing for continuous shape estimation of morphing structures,2024,0,textile/yarn/fabric,capacitive sensor,capacitance change,wireless/IoT,capacitive sensor -> capacitance change -> wireless/IoT,textile/yarn/fabric -> capacitive sensor -> capacitance change -> wireless/IoT,4,1,0,1,1,2022-25
P_001013,MO_001,"Self-Healing, Self-Adhesive and Stable Organohydrogel-Based Stretchable Oxygen Sensor with High Performance at Room Temperature",2022,0,hydrogel,electrode,current signal,health monitoring,electrode -> current signal -> health monitoring,hydrogel -> electrode -> current signal -> health monitoring,4,1,0,1,1,2022-25
P_001954,MO_001,Flexible Multimodal Sensing System Based on a Vertical Stacking Strategy for Efficiently Decoupling Multiple Signals,2024,0,Ag/AgNW,strain sensor,resistance/conductivity change,HMI,strain sensor -> resistance/conductivity change -> HMI,Ag/AgNW -> strain sensor -> resistance/conductivity change -> HMI,4,1,0,1,1,2022-25
P_002334,MO_001,Crack detection and localization in RC beams through smart MWCNT/epoxy strip-like strain sensors,2018,0,CNT,strain sensor,voltage output,health monitoring,strain sensor -> voltage output -> health monitoring,CNT -> strain sensor -> voltage output -> health monitoring,4,1,0,1,1,2018-21
