cutoff,endpoint,model,candidate_universe,future_positives,top100_hits,top100_precision,random_expected_hits_at_100,average_precision,selected_evidence_composite,selected_fusion_mode,selected_weight
2018,closed_in_future,role_agnostic,9053,275,32,0.32,3.0376670716889427,0.18572809741594043,temporal_validation_momentum,head_taper_percentile_blend_40,0.2
2018,closed_in_future,typed_structure,9053,275,29,0.29,3.0376670716889427,0.17373053245335615,temporal_validation_momentum,head_taper_percentile_blend_40,0.2
2018,closed_in_future,nested_structure_plus_evidence,9053,275,29,0.29,3.0376670716889427,0.16310002620322522,temporal_validation_momentum,head_taper_percentile_blend_40,0.2
2018,validated_closure,role_agnostic,9053,219,25,0.25,2.4190875952722855,0.1525012688312278,temporal_validation_momentum,head_taper_percentile_blend_40,0.2
2018,validated_closure,typed_structure,9053,219,25,0.25,2.4190875952722855,0.14840140859686132,temporal_validation_momentum,head_taper_percentile_blend_40,0.2
2018,validated_closure,nested_structure_plus_evidence,9053,219,25,0.25,2.4190875952722855,0.1425253141275864,temporal_validation_momentum,head_taper_percentile_blend_40,0.2
2019,closed_in_future,role_agnostic,12252,359,35,0.35,2.930133855697029,0.202372380587861,temporal_validation_momentum,structure_gated_percentile_blend,0.3
2019,closed_in_future,typed_structure,12252,359,36,0.36,2.930133855697029,0.19268436625090116,temporal_validation_momentum,structure_gated_percentile_blend,0.3
2019,closed_in_future,nested_structure_plus_evidence,12252,359,37,0.37,2.930133855697029,0.1837739348809775,temporal_validation_momentum,structure_gated_percentile_blend,0.3
2019,validated_closure,role_agnostic,12252,289,29,0.29,2.3587985634998367,0.17173546616542018,temporal_validation_momentum,structure_gated_percentile_blend,0.3
2019,validated_closure,typed_structure,12252,289,30,0.3,2.3587985634998367,0.161913199819615,temporal_validation_momentum,structure_gated_percentile_blend,0.3
2019,validated_closure,nested_structure_plus_evidence,12252,289,31,0.31,2.3587985634998367,0.15582337722520603,temporal_validation_momentum,structure_gated_percentile_blend,0.3
2020,closed_in_future,role_agnostic,15680,421,31,0.31,2.684948979591837,0.1729352344413398,temporal_validation_momentum,global_percentile_blend,0.3
2020,closed_in_future,typed_structure,15680,421,34,0.34,2.684948979591837,0.16321522931216167,temporal_validation_momentum,global_percentile_blend,0.3
2020,closed_in_future,nested_structure_plus_evidence,15680,421,35,0.35,2.684948979591837,0.14873402238940545,temporal_validation_momentum,global_percentile_blend,0.3
2020,validated_closure,role_agnostic,15680,342,27,0.27,2.181122448979592,0.15797598185419753,temporal_validation_momentum,global_percentile_blend,0.3
2020,validated_closure,typed_structure,15680,342,30,0.3,2.181122448979592,0.14716314931883046,temporal_validation_momentum,global_percentile_blend,0.3
2020,validated_closure,nested_structure_plus_evidence,15680,342,31,0.31,2.181122448979592,0.13142677706304137,temporal_validation_momentum,global_percentile_blend,0.3
2021,closed_in_future,role_agnostic,20305,499,33,0.33,2.457522777640975,0.16143256874914072,temporal_closure_v10,structure_gated_percentile_blend,0.3
2021,closed_in_future,typed_structure,20305,499,32,0.32,2.457522777640975,0.15902717798350155,temporal_closure_v10,structure_gated_percentile_blend,0.3
2021,closed_in_future,nested_structure_plus_evidence,20305,499,35,0.35,2.457522777640975,0.1554422880582007,temporal_closure_v10,structure_gated_percentile_blend,0.3
2021,validated_closure,role_agnostic,20305,391,28,0.28,1.925634080275794,0.14414652763960026,temporal_closure_v10,structure_gated_percentile_blend,0.3
2021,validated_closure,typed_structure,20305,391,27,0.27,1.925634080275794,0.14176406111712686,temporal_closure_v10,structure_gated_percentile_blend,0.3
2021,validated_closure,nested_structure_plus_evidence,20305,391,30,0.3,1.925634080275794,0.1419261825052444,temporal_closure_v10,structure_gated_percentile_blend,0.3
