architecture,strain,cycle_sequence,delta_R_over_R0_percent
CNT/CB single layer,30%,0.0,0.0
CNT/CB single layer,30%,0.0016812373907195695,3.1236251649802003
CNT/CB single layer,30%,0.003362474781439139,3.2556093268807698
CNT/CB single layer,30%,0.00504371217215871,3.2556093268807698
CNT/CB single layer,30%,0.006724949562878278,3.2556093268807698
CNT/CB single layer,30%,0.008406186953597848,3.2556093268807698
CNT/CB single layer,30%,0.01008742434431742,3.2556093268807698
CNT/CB single layer,30%,0.011768661735036988,3.2996040475143014
CNT/CB single layer,30%,0.013449899125756556,3.34359876814782
CNT/CB single layer,30%,0.015131136516476126,3.34359876814782
CNT/CB single layer,30%,0.016812373907195696,3.3875934887813397
CNT/CB single layer,30%,0.018493611297915265,3.431588209414871
CNT/CB single layer,30%,0.02017484868863484,3.4755829300483896
CNT/CB single layer,30%,0.021856086079354405,3.5195776506819207
CNT/CB single layer,30%,0.023537323470073975,3.5195776506819207
CNT/CB single layer,30%,0.025218560860793545,3.6515618125824907
CNT/CB single layer,30%,0.02689979825151311,3.7395512538495415
CNT/CB single layer,30%,0.02858103564223268,3.7395512538495415
CNT/CB single layer,30%,0.03026227303295225,3.871535415750111
CNT/CB single layer,30%,0.03194351042367182,3.9595248570171613
CNT/CB single layer,30%,0.03362474781439139,4.003519577650681
CNT/CB single layer,30%,0.03530598520511096,4.13550373955125
CNT/CB single layer,30%,0.03698722259583053,4.2234931808183
CNT/CB single layer,30%,0.0386684599865501,4.26748790145182
CNT/CB single layer,30%,0.04034969737726968,4.487461504619439
CNT/CB single layer,30%,0.04203093476798924,4.619445666520021
CNT/CB single layer,30%,0.04371217215870881,4.79542454905411
CNT/CB single layer,30%,0.045393409549428373,4.971403431588212
CNT/CB single layer,30%,0.04707464694014795,5.1473823141223
CNT/CB single layer,30%,0.04875588433086751,5.279366476022882
CNT/CB single layer,30%,0.05043712172158709,5.587329520457541
CNT/CB single layer,30%,0.05211835911230666,5.895292564892211
CNT/CB single layer,30%,0.05379959650302622,6.115266168059831
CNT/CB single layer,30%,0.0554808338937458,6.33523977122745
CNT/CB single layer,30%,0.05716207128446536,6.467223933128021
CNT/CB single layer,30%,0.05884330867518494,6.555213374395071
CNT/CB single layer,30%,0.0605245460659045,6.731192256929172
CNT/CB single layer,30%,0.06220578345662407,6.81918169819621
CNT/CB single layer,30%,0.06388702084734364,6.995160580730311
CNT/CB single layer,30%,0.06556825823806321,7.215134183897931
CNT/CB single layer,30%,0.06724949562878278,7.347118345798501
CNT/CB single layer,30%,0.06893073301950235,7.655081390233172
CNT/CB single layer,30%,0.07061197041022192,7.963044434667841
CNT/CB single layer,30%,0.07229320780094149,8.271007479102513
CNT/CB single layer,30%,0.07397444519166106,8.578970523537171
CNT/CB single layer,30%,0.07565568258238063,8.930928288605362
CNT/CB single layer,30%,0.0773369199731002,9.15090189177298
CNT/CB single layer,30%,0.07901815736381977,9.414870215574132
CNT/CB single layer,30%,0.08069939475453936,9.81082270127584
CNT/CB single layer,30%,0.0823806321452589,10.07479102507698
CNT/CB single layer,30%,0.08406186953597848,10.206775186977563
CNT/CB single layer,30%,0.08574310692669805,10.426748790145183
CNT/CB single layer,30%,0.08742434431741762,10.73471183457984
CNT/CB single layer,30%,0.08910558170813718,10.998680158381005
CNT/CB single layer,30%,0.09078681909885675,11.306643202815662
CNT/CB single layer,30%,0.09246805648957633,11.570611526616801
CNT/CB single layer,30%,0.0941492938802959,11.878574571051484
CNT/CB single layer,30%,0.09583053127101547,12.362516498020243
CNT/CB single layer,30%,0.09751176866173503,12.6704795424549
CNT/CB single layer,30%,0.0991930060524546,12.890453145622521
CNT/CB single layer,30%,0.10087424344317418,13.19841619005718
CNT/CB single layer,30%,0.10255548083389375,13.506379234491863
CNT/CB single layer,30%,0.10423671822461332,13.814342278926523
CNT/CB single layer,30%,0.10591795561533288,14.122305323361203
CNT/CB single layer,30%,0.10759919300605245,14.342278926528824
CNT/CB single layer,30%,0.10928043039677203,14.694236691597002
CNT/CB single layer,30%,0.1109616677874916,14.958205015398141
CNT/CB single layer,30%,0.11264290517821116,15.266168059832824
CNT/CB single layer,30%,0.11432414256893073,15.39815222173338
CNT/CB single layer,30%,0.1160053799596503,15.706115266168064
CNT/CB single layer,30%,0.11768661735036988,16.014078310602724
CNT/CB single layer,30%,0.11936785474108945,16.190057193136823
CNT/CB single layer,30%,0.121049092131809,16.410030796304444
CNT/CB single layer,30%,0.12273032952252858,16.7179938407391
CNT/CB single layer,30%,0.12441156691324814,16.93796744390672
CNT/CB single layer,30%,0.12609280430396771,17.201935767707884
CNT/CB single layer,30%,0.12777404169468728,17.377914650241962
CNT/CB single layer,30%,0.12945527908540685,17.641882974043124
CNT/CB single layer,30%,0.13113651647612642,17.905851297844265
CNT/CB single layer,30%,0.132817753866846,18.213814342278923
CNT/CB single layer,30%,0.13449899125756556,18.653761548614163
CNT/CB single layer,30%,0.13618022864828513,18.873735151781784
CNT/CB single layer,30%,0.1378614660390047,19.049714034315883
CNT/CB single layer,30%,0.13954270342972427,19.269687637483504
CNT/CB single layer,30%,0.14122394082044384,19.533655961284644
CNT/CB single layer,30%,0.14290517821116341,19.753629564452265
CNT/CB single layer,30%,0.14458641560188298,20.105587329520468
CNT/CB single layer,30%,0.14626765299260255,20.325560932688084
CNT/CB single layer,30%,0.14794889038332212,20.457545094588642
CNT/CB single layer,30%,0.1496301277740417,20.589529256489225
CNT/CB single layer,30%,0.15131136516476126,20.853497580290366
CNT/CB single layer,30%,0.15299260255548083,21.073471183457983
CNT/CB single layer,30%,0.1546738399462004,21.337439507259123
CNT/CB single layer,30%,0.15635507733691995,21.513418389793223
CNT/CB single layer,30%,0.15803631472763954,21.777386713594364
CNT/CB single layer,30%,0.1597175521183591,21.997360316761984
CNT/CB single layer,30%,0.1613987895090787,22.173339199296084
CNT/CB single layer,30%,0.16308002689979825,22.305323361196667
CNT/CB single layer,30%,0.1647612642905178,22.437307523097225
CNT/CB single layer,30%,0.1664425016812374,22.657281126264845
CNT/CB single layer,30%,0.16812373907195696,22.877254729432465
CNT/CB single layer,30%,0.16980497646267656,23.053233611966565
CNT/CB single layer,30%,0.1714862138533961,23.361196656401223
CNT/CB single layer,30%,0.17316745124411564,23.493180818301802
CNT/CB single layer,30%,0.17484868863483524,23.669159700835905
CNT/CB single layer,30%,0.1765299260255548,23.84513858336998
CNT/CB single layer,30%,0.17821116341627435,24.021117465904084
CNT/CB single layer,30%,0.17989240080699395,24.197096348438187
CNT/CB single layer,30%,0.1815736381977135,24.417069951605804
CNT/CB single layer,30%,0.1832548755884331,24.505059392872845
CNT/CB single layer,30%,0.18493611297915266,24.769027716674007
CNT/CB single layer,30%,0.1866173503698722,25.032996040475147
CNT/CB single layer,30%,0.1882985877605918,25.164980202375702
CNT/CB single layer,30%,0.18997982515131134,25.296964364276285
CNT/CB single layer,30%,0.19166106254203094,25.560932688077425
CNT/CB single layer,30%,0.1933422999327505,25.780906291245042
CNT/CB single layer,30%,0.19502353732347005,26.000879894412666
CNT/CB single layer,30%,0.19670477471418965,26.13286405631325
CNT/CB single layer,30%,0.1983860121049092,26.264848218213803
CNT/CB single layer,30%,0.2000672494956288,26.48482182138142
CNT/CB single layer,30%,0.20174848688634836,26.660800703915527
CNT/CB single layer,30%,0.2034297242770679,26.836779586449627
CNT/CB single layer,30%,0.2051109616677875,27.100747910250767
CNT/CB single layer,30%,0.20679219905850704,27.232732072151343
CNT/CB single layer,30%,0.20847343644922664,27.496700395952484
CNT/CB single layer,30%,0.2101546738399462,27.672679278486584
CNT/CB single layer,30%,0.21183591123066575,27.84865816102069
CNT/CB single layer,30%,0.21351714862138535,28.156621205455345
CNT/CB single layer,30%,0.2151983860121049,28.288605367355927
CNT/CB single layer,30%,0.21687962340282446,28.55257369115707
CNT/CB single layer,30%,0.21856086079354406,28.81654201495821
CNT/CB single layer,30%,0.2202420981842636,29.036515618125826
CNT/CB single layer,30%,0.2219233355749832,29.344478662560487
CNT/CB single layer,30%,0.22360457296570274,29.696436427628687
CNT/CB single layer,30%,0.2252858103564223,30.00439947206334
CNT/CB single layer,30%,0.2269670477471419,30.224373075230965
CNT/CB single layer,30%,0.22864828513786145,30.488341399032105
CNT/CB single layer,30%,0.23032952252858105,30.884293884733825
CNT/CB single layer,30%,0.2320107599193006,31.104267487901442
CNT/CB single layer,30%,0.23369199731002016,31.324241091069066
CNT/CB single layer,30%,0.23537323470073976,31.63220413550375
CNT/CB single layer,30%,0.2370544720914593,31.852177738671365
CNT/CB single layer,30%,0.2387357094821789,32.11614606247251
CNT/CB single layer,30%,0.24041694687289844,32.38011438627365
CNT/CB single layer,30%,0.242098184263618,32.644082710074784
CNT/CB single layer,30%,0.2437794216543376,32.86405631324241
CNT/CB single layer,30%,0.24546065904505715,33.084029916410024
CNT/CB single layer,30%,0.24714189643577675,33.523977122745265
CNT/CB single layer,30%,0.2488231338264963,33.7879454465464
CNT/CB single layer,30%,0.25050437121721586,34.007919049714026
CNT/CB single layer,30%,0.25218560860793543,34.271887373515185
CNT/CB single layer,30%,0.253866845998655,34.53585569731633
CNT/CB single layer,30%,0.25554808338937457,34.84381874175099
CNT/CB single layer,30%,0.25722932078009414,35.107787065552124
CNT/CB single layer,30%,0.2589105581708137,35.50373955125385
CNT/CB single layer,30%,0.2605917955615333,35.72371315442147
CNT/CB single layer,30%,0.26227303295225285,36.11966564012319
CNT/CB single layer,30%,0.2639542703429724,36.427628684557845
