cycle_window_midpoint,lower_5th_percentile_ohm,upper_95th_percentile_ohm,n_raw_points
5,1.46,1.87,158
15,1.46,1.86,159
25,1.46,1.87,159
35,1.4699999999999998,1.861,159
45,1.46,1.861,159
55,1.46,1.861,159
65,1.46,1.87,159
75,1.46,1.861,159
85,1.46,1.861,159
95,1.46,1.86,159
105,1.46,1.86,159
115,1.46,1.861,159
125,1.46,1.86,159
135,1.46,1.87,159
145,1.46,1.87,159
155,1.46,1.861,159
165,1.46,1.87,159
175,1.46,1.861,159
185,1.46,1.87,159
195,1.46,1.861,159
205,1.46,1.86,159
215,1.46,1.861,159
225,1.46,1.86,159
235,1.46,1.861,159
245,1.4699999999999998,1.87,159
255,1.4699999999999998,1.87,159
265,1.4699999999999998,1.871,159
275,1.4699999999999998,1.87,159
285,1.4699999999999998,1.871,159
295,1.4699999999999998,1.87,159
305,1.4699999999999998,1.87,159
315,1.46,1.87,159
325,1.4699999999999998,1.87,159
335,1.46,1.87,159
345,1.46,1.87,159
355,1.46,1.87,159
365,1.4699999999999998,1.86,159
375,1.4699999999999998,1.871,159
385,1.479,1.88,159
395,1.4699999999999998,1.871,159
405,1.48,1.871,159
415,1.48,1.87,159
425,1.48,1.87,159
435,1.48,1.871,159
445,1.4699999999999998,1.87,159
455,1.4699999999999998,1.87,159
465,1.4699999999999998,1.87,159
475,1.46,1.87,159
485,1.46,1.87,159
495,1.4699999999999998,1.87,159
505,1.46,1.87,159
515,1.46,1.87,159
525,1.46,1.87,159
535,1.4699999999999998,1.871,159
545,1.4699999999999998,1.87,159
555,1.4699999999999998,1.87,159
565,1.4699999999999998,1.871,159
575,1.48,1.88,159
585,1.48,1.87,159
595,1.48,1.88,159
605,1.48,1.87,159
615,1.48,1.871,159
625,1.4699999999999998,1.87,159
635,1.4699999999999998,1.88,159
645,1.4699999999999998,1.871,159
655,1.4699999999999998,1.87,159
665,1.4699999999999998,1.87,159
675,1.4699999999999998,1.87,159
685,1.4699999999999998,1.87,159
695,1.4699999999999998,1.87,159
705,1.4699999999999998,1.88,159
715,1.48,1.87,159
725,1.48,1.88,159
735,1.48,1.88,159
745,1.48,1.88,159
755,1.48,1.88,159
765,1.48,1.88,159
775,1.48,1.871,159
785,1.48,1.88,159
795,1.48,1.88,159
805,1.4899999999999998,1.88,159
815,1.4899999999999998,1.88,159
825,1.48,1.8809999999999998,159
835,1.4889999999999999,1.88,159
845,1.48,1.88,159
855,1.4899999999999998,1.88,159
865,1.48,1.87,159
875,1.48,1.88,159
885,1.4699999999999998,1.88,159
895,1.4699999999999998,1.87,159
905,1.4699999999999998,1.871,159
915,1.4699999999999998,1.871,159
925,1.4699999999999998,1.87,159
935,1.4699999999999998,1.87,159
945,1.48,1.87,159
955,1.48,1.87,159
965,1.48,1.88,159
975,1.48,1.88,159
985,1.48,1.88,159
995,1.49,1.88,158
1005,1.4899999999999998,1.87,159
1015,1.4899999999999998,1.8809999999999998,159
1025,1.48,1.88,159
1035,1.48,1.88,159
1045,1.48,1.871,159
1055,1.48,1.87,159
1065,1.4699999999999998,1.871,159
1075,1.4699999999999998,1.88,159
1085,1.4699999999999998,1.87,159
1095,1.48,1.88,159
1105,1.48,1.88,159
1115,1.48,1.88,159
1125,1.4899999999999998,1.88,159
1135,1.48,1.88,159
1145,1.48,1.88,159
1155,1.4889999999999999,1.88,159
1165,1.4899999999999998,1.88,159
1175,1.4889999999999999,1.87,159
1185,1.4899999999999998,1.87,159
1195,1.4889999999999999,1.87,159
1205,1.4889999999999999,1.88,159
1215,1.48,1.89,159
1225,1.4899999999999998,1.88,159
1235,1.48,1.88,159
1245,1.48,1.88,159
1255,1.48,1.88,159
1265,1.48,1.8809999999999998,159
1275,1.4699999999999998,1.87,159
1285,1.4699999999999998,1.87,159
1295,1.479,1.87,159
1305,1.48,1.87,159
1315,1.48,1.87,159
1325,1.48,1.88,159
1335,1.48,1.88,159
1345,1.4899999999999998,1.88,159
1355,1.4889999999999999,1.88,159
1365,1.48,1.88,159
1375,1.48,1.88,159
1385,1.48,1.87,159
1395,1.48,1.88,159
1405,1.48,1.87,159
1415,1.48,1.871,159
1425,1.4699999999999998,1.88,159
1435,1.4699999999999998,1.88,159
