strain_percent,resistance_ohm
1.4624,1.58
2.92479,1.58
4.38719,1.58
5.84958,1.58
7.31198,1.58
8.77437,1.58
10.23677,1.58
11.69916,1.58
13.16156,1.58
14.62396,1.58
16.08635,1.58
17.54875,1.58
19.01114,1.58
20.47354,1.58
21.93593,1.58
23.39833,1.58
24.86072,1.58
26.32312,1.58
27.78552,1.58
29.24791,1.58
30.71031,1.58
32.1727,1.58
33.6351,1.58
35.09749,1.58
36.55989,1.58
38.02228,1.58
39.48468,1.58
40.94708,1.58
42.40947,1.58
43.87187,1.58
45.33426,1.58
46.79666,1.58
48.25905,1.58
49.72145,1.58
51.18384,1.58
52.64624,1.58
54.10864,1.58
55.57103,1.58
57.03343,1.58
58.49582,1.58
59.95822,1.58
61.42061,1.58
62.88301,1.58
64.3454,1.58
65.8078,1.58
67.27019,1.58
68.73259,1.58
70.19499,1.58
71.65738,1.58
73.11978,1.58
74.58217,1.58
76.04457,1.58
77.50696,1.58
78.96936,1.59
80.43175,1.58
81.89415,1.58
83.35655,1.58
84.81894,1.58
86.28134,1.58
87.74373,1.59
89.20613,1.58
90.66852,1.6
92.13092,1.61
93.59331,1.63
95.05571,1.65
96.51811,1.67
97.9805,1.69
99.4429,1.72
100.90529,1.74
102.36769,1.76
103.83008,1.78
105.29248,1.82
106.75487,1.84
108.21727,1.87
109.67967,1.88
111.14206,1.92
112.60446,1.94
114.06685,1.96
115.52925,1.99
116.99164,2.0
118.45404,2.03
119.91643,2.05
121.37883,2.08
122.84123,2.09
124.30362,2.12
125.76602,2.13
127.22841,2.17
128.69081,2.18
130.1532,2.21
131.6156,2.23
133.07799,2.26
134.54039,2.29
136.00279,2.3
137.46518,2.33
138.92758,2.35
140.38997,2.38
141.85237,2.4
143.31476,2.43
144.77716,2.45
146.23955,2.47
147.70195,2.51
149.16435,2.52
150.62674,2.55
152.08914,2.56
153.55153,2.6
155.01393,2.63
156.47632,2.64
157.93872,2.68
159.40111,2.69
160.86351,2.72
162.32591,2.75
163.7883,2.78
165.2507,2.8
166.71309,2.83
168.17549,2.85
169.63788,2.87
171.10028,2.9
172.56267,2.93
174.02507,2.95
175.48747,2.97
176.94986,3.0
178.41226,3.02
179.87465,3.05
181.33705,3.09
182.79944,3.11
184.26184,3.14
185.72423,3.16
187.18663,3.19
188.64903,3.22
190.11142,3.24
191.57382,3.28
193.03621,3.29
194.49861,3.34
195.961,3.34
197.4234,3.39
198.88579,3.4
200.34819,3.44
201.81058,3.48
203.27298,3.49
204.73538,3.53
206.19777,3.54
207.66017,3.58
209.12256,3.6
210.58496,3.64
212.04735,3.65
213.50975,3.7
214.97214,3.71
216.43454,3.76
217.89694,3.77
219.35933,3.81
220.82173,3.85
222.28412,3.86
223.74652,3.9
225.20891,3.92
226.67131,3.96
228.1337,3.97
229.5961,4.02
231.0585,4.03
232.52089,4.07
233.98329,4.08
235.44568,4.13
236.90808,4.14
238.37047,4.17
239.83287,4.21
241.29526,4.24
242.75766,4.27
244.22006,4.29
245.68245,4.33
247.14485,4.36
248.60724,4.38
250.06964,4.42
251.53203,4.45
252.99443,4.47
254.45682,4.51
255.91922,4.53
257.38162,4.57
258.84401,4.58
260.30641,4.63
261.7688,4.64
263.2312,4.68
264.69359,4.7
266.15599,4.73
267.61838,4.75
269.08078,4.77
270.54318,4.81
272.00557,4.82
273.46797,4.87
274.93036,4.88
276.39276,4.93
277.85515,4.94
279.31755,4.98
280.77994,4.98
282.24234,5.03
283.70474,5.07
285.16713,5.06
286.62953,5.11
288.09192,5.11
289.55432,5.16
291.01671,5.2
292.47911,5.19
293.9415,5.25
295.4039,5.25
296.8663,5.3
298.32869,5.3
299.79109,5.35
301.25348,5.35
302.71588,5.4
304.17827,5.44
305.64067,5.43
307.10306,5.49
308.56546,5.49
310.02786,5.53
311.49025,5.57
312.95265,5.61
314.41504,5.62
315.87744,5.65
317.33983,5.65
318.80223,5.7
320.26462,5.72
321.72702,5.75
323.18942,5.76
324.65181,5.79
326.11421,5.8
327.5766,5.84
329.039,5.87
330.50139,5.88
331.96379,5.93
333.42618,5.93
334.88858,5.97
336.35097,5.98
337.81337,6.01
339.27577,6.04
340.73816,6.06
342.20056,6.11
343.66295,6.12
345.12535,6.18
346.58774,6.18
348.05014,6.23
349.51253,6.25
350.97493,6.29
352.43733,6.32
353.89972,6.35
355.36212,6.39
356.82451,6.4
358.28691,6.45
359.7493,6.49
361.2117,6.52
362.67409,6.57
364.13649,6.59
365.59889,6.61
367.06128,6.65
368.52368,6.68
369.98607,6.71
371.44847,6.73
372.91086,6.77
374.37326,6.8
375.83565,6.84
377.29805,6.85
378.76045,6.89
380.22284,6.92
381.68524,6.93
383.14763,6.97
384.61003,7.02
386.07242,7.06
387.53482,7.05
388.99721,7.12
390.45961,7.16
391.92201,7.18
393.3844,7.21
394.8468,7.23
396.30919,7.27
397.77159,7.3
399.23398,7.33
400.69638,7.35
402.15877,7.37
403.62117,7.41
405.08357,7.41
406.54596,7.49
408.00836,7.48
409.47075,7.54
410.93315,7.61
412.39554,7.59
413.85794,7.66
415.32033,7.7
416.78273,7.72
418.24513,7.76
419.70752,7.78
421.16992,7.86
422.63231,7.86
424.09471,7.94
425.5571,7.93
427.0195,8.01
428.48189,8.01
429.94429,8.07
431.40669,8.08
432.86908,8.13
434.33148,8.16
435.79387,8.21
437.25627,8.27
438.71866,8.3
440.18106,8.39
441.64345,8.39
443.10585,8.45
444.56825,8.49
446.03064,8.54
447.49304,8.64
448.95543,8.62
450.41783,8.7
451.88022,8.75
453.34262,8.77
454.80501,8.81
456.26741,8.89
457.72981,8.9
459.1922,8.97
460.6546,9.03
462.11699,9.04
463.57939,9.07
465.04178,9.15
466.50418,9.19
467.96657,9.22
469.42897,9.28
470.89136,9.35
472.35376,9.31
473.81616,9.36
475.27855,9.45
476.74095,9.5
478.20334,9.52
479.66574,9.58
481.12813,9.6
482.59053,9.68
484.05292,9.66
485.51532,9.75
486.97772,9.81
488.44011,9.81
489.90251,9.87
491.3649,9.9
492.8273,9.98
494.28969,9.98
495.75209,10.08
497.21448,10.11
498.67688,10.2
500.13928,10.2
501.60167,10.28
503.06407,10.34
504.52646,10.36
505.98886,10.4
507.45125,10.45
508.91365,10.51
510.37604,10.56
511.83844,10.64
513.30084,10.72
514.76323,10.76
516.22563,10.8
517.68802,10.88
519.15042,10.94
520.61281,10.98
522.07521,11.05
523.5376,11.11
525.0,11.18
526.4624,11.2
527.92479,11.32
529.38719,11.38
530.84958,11.44
532.31198,11.48
533.77437,11.56
535.23677,11.56
536.69916,11.6
538.16156,11.72
539.62396,11.76
541.08635,11.77
542.54875,11.84
544.01114,11.9
545.47354,11.92
546.93593,12.0
548.39833,12.08
549.86072,12.14
551.32312,12.21
552.78552,12.29
554.24791,12.32
555.71031,12.36
557.1727,12.46
558.6351,12.49
560.09749,12.57
561.55989,12.56
563.02228,12.67
564.48468,12.65
565.94708,12.72
567.40947,12.85
568.87187,12.91
570.33426,13.0
571.79666,13.05
573.25905,13.21
574.72145,13.19
576.18384,13.26
577.64624,13.38
579.10864,13.43
580.57103,13.51
582.03343,13.52
583.49582,13.64
584.95822,13.69
586.42061,13.72
587.88301,13.83
589.3454,13.84
590.8078,13.89
592.27019,14.0
593.73259,13.96
595.19499,14.07
596.65738,14.13
598.11978,14.25
599.58217,14.5
601.04457,14.54
602.50696,14.64
603.96936,14.62
605.43175,14.68
606.89415,14.78
608.35655,14.79
609.81894,14.83
611.28134,14.94
612.74373,15.07
614.20613,15.16
615.66852,15.26
617.13092,15.29
618.59331,15.27
620.05571,15.35
621.51811,15.34
622.9805,15.41
624.4429,15.53
625.90529,15.55
627.36769,15.59
628.83008,15.79
630.29248,15.74
631.75487,15.77
633.21727,15.91
634.67967,15.86
636.14206,15.98
637.60446,16.02
639.06685,16.06
640.52925,16.16
641.99164,16.13
643.45404,16.25
644.91643,16.29
646.37883,16.4
647.84123,16.43
649.30362,16.44
650.76602,16.61
652.22841,16.63
653.69081,16.73
655.1532,16.73
656.6156,16.85
658.07799,16.85
659.54039,16.92
661.00279,17.04
662.46518,17.03
663.92758,17.16
665.38997,17.16
666.85237,17.33
668.31476,17.29
669.77716,17.39
671.23955,17.52
672.70195,17.57
674.16435,17.8
675.62674,17.78
677.08914,17.86
678.55153,17.88
680.01393,17.94
681.47632,17.96
682.93872,18.07
684.40111,18.12
685.86351,18.3
687.32591,18.4
688.7883,18.47
690.2507,18.53
691.71309,18.56
693.17549,18.61
694.63788,18.63
696.10028,18.68
697.56267,18.68
699.02507,18.84
700.48747,18.97
701.94986,19.05
703.41226,19.12
704.87465,19.18
706.33705,19.29
707.79944,19.38
709.26184,19.6
710.72423,19.71
712.18663,19.74
713.64903,19.85
715.11142,19.92
716.57382,19.94
718.03621,20.14
719.49861,20.16
720.961,20.27
722.4234,20.33
723.88579,20.4
725.34819,20.37
726.81058,20.45
728.27298,20.44
729.73538,20.57
731.19777,20.57
732.66017,20.74
734.12256,20.73
735.58496,20.86
737.04735,20.89
738.50975,21.04
739.97214,21.0
741.43454,21.06
742.89694,21.16
744.35933,21.11
745.82173,21.27
747.28412,21.32
748.74652,21.39
750.20891,21.63
751.67131,21.77
753.1337,21.88
754.5961,21.93
756.0585,22.19
757.52089,22.22
758.98329,22.29
760.44568,22.42
761.90808,22.48
763.37047,22.59
764.83287,22.67
766.29526,22.67
767.75766,22.75
769.22006,22.89
770.68245,23.08
772.14485,23.14
773.60724,23.39
775.06964,23.51
776.53203,23.61
777.99443,23.58
779.45682,23.8
780.91922,23.77
782.38162,24.03
783.84401,24.14
785.30641,24.16
786.7688,24.29
788.2312,24.35
789.69359,24.4
791.15599,24.44
792.61838,24.5
794.08078,24.59
795.54318,24.72
797.00557,24.77
798.46797,25.0
799.93036,25.2
801.39276,25.31
802.85515,25.37
804.31755,25.42
805.77994,25.55
807.24234,25.54
808.70474,25.76
810.16713,25.87
811.62953,25.98
813.09192,26.12
814.55432,26.11
816.01671,26.15
817.47911,26.29
818.9415,26.46
820.4039,26.68
821.8663,26.65
823.32869,26.89
824.79109,26.97
826.25348,27.4
827.71588,27.41
829.17827,27.49
830.64067,27.66
832.10306,27.75
833.56546,27.98
835.02786,28.08
836.49025,28.36
837.95265,28.53
839.41504,28.57
840.87744,28.83
842.33983,28.97
843.80223,29.11
845.26462,29.32
846.72702,29.52
848.18942,29.73
849.65181,29.95
851.11421,30.25
852.5766,30.4
854.039,30.53
855.50139,30.66
856.96379,30.89
858.42618,30.96
859.88858,31.02
861.35097,31.24
862.81337,31.29
864.27577,31.27
865.73816,31.52
867.20056,47.48
868.66295,47.5
