group,displacement_mm,peel_strength_2F_over_W_N_per_m
Fr-PA-10,0.00581,29.26885
Fr-PA-10,0.00581,29.26885
Fr-PA-10,0.00581,29.26885
Fr-PA-10,0.00581,29.26885
Fr-PA-10,0.00581,29.26885
Fr-PA-10,0.00581,29.26885
Fr-PA-10,0.00581,29.26885
Fr-PA-10,0.00581,29.26885
Fr-PA-10,0.00581,29.26885
Fr-PA-10,0.00581,29.26885
Fr-PA-10,0.00581,29.26885
Fr-PA-10,0.00581,29.26885
Fr-PA-10,0.00581,29.26885
Fr-PA-10,0.00581,29.26885
Fr-PA-10,0.01108,29.66563
Fr-PA-10,0.01675,29.74201
Fr-PA-10,0.02559,31.29375
Fr-PA-10,0.04512,32.92187
Fr-PA-10,0.07007,33.01128
Fr-PA-10,0.09824,33.10256
Fr-PA-10,0.12451,34.56302
Fr-PA-10,0.15195,35.96015
Fr-PA-10,0.18101,36.28055
Fr-PA-10,0.20737,37.61435
Fr-PA-10,0.23491,39.96151
Fr-PA-10,0.26504,42.61419
Fr-PA-10,0.29082,43.9871
Fr-PA-10,0.31826,44.16593
Fr-PA-10,0.34824,44.3578
Fr-PA-10,0.37476,45.83317
Fr-PA-10,0.40176,47.12784
Fr-PA-10,0.43169,46.97322
Fr-PA-10,0.45815,48.71683
Fr-PA-10,0.48481,50.02455
Fr-PA-10,0.51333,50.85723
Fr-PA-10,0.54229,52.57663
Fr-PA-10,0.56865,53.40931
Fr-PA-10,0.59604,53.46147
Fr-PA-10,0.62495,54.55123
Fr-PA-10,0.65142,56.57613
Fr-PA-10,0.67969,58.06267
Fr-PA-10,0.70864,59.90874
Fr-PA-10,0.73511,61.24253
Fr-PA-10,0.7624,62.4869
Fr-PA-10,0.79165,64.48572
Fr-PA-10,0.81802,67.42155
Fr-PA-10,0.84585,68.97329
Fr-PA-10,0.8751,69.47253
Fr-PA-10,0.90176,70.85848
Fr-PA-10,0.929,72.20345
Fr-PA-10,0.95811,73.46086
Fr-PA-10,0.98462,75.51184
Fr-PA-10,1.01265,77.0375
Fr-PA-10,1.0416,78.66561
Fr-PA-10,1.06826,80.17824
Fr-PA-10,1.09814,81.60144
Fr-PA-10,1.12461,82.81974
Fr-PA-10,1.1519,83.89645
Fr-PA-10,1.1793,85.93439
Fr-PA-10,1.2082,87.43584
Fr-PA-10,1.23467,89.26887
Fr-PA-10,1.26455,90.52442
Fr-PA-10,1.29106,91.5378
Fr-PA-10,1.31851,93.33171
Fr-PA-10,1.34585,94.49971
Fr-PA-10,1.37471,96.04958
Fr-PA-10,1.40122,97.51191
Fr-PA-10,1.4311,99.61505
Fr-PA-10,1.45762,100.79422
Fr-PA-10,1.48501,103.34444
Fr-PA-10,1.51226,104.73039
Fr-PA-10,1.54136,105.78103
Fr-PA-10,1.56777,107.89721
Fr-PA-10,1.59551,110.74176
Fr-PA-10,1.62446,113.16531
Fr-PA-10,1.65156,115.15294
Fr-PA-10,1.67905,116.89656
Fr-PA-10,1.70835,117.72925
Fr-PA-10,1.73477,119.25491
Fr-PA-10,1.76465,120.66507
Fr-PA-10,1.79121,121.94856
Fr-PA-10,1.81841,124.11504
Fr-PA-10,1.84561,126.57584
Fr-PA-10,1.87485,127.95993
Fr-PA-10,1.90137,128.448
Fr-PA-10,1.93125,128.83173
Fr-PA-10,1.95776,129.33284
Fr-PA-10,1.98521,131.01125
Fr-PA-10,2.0124,131.7806
Fr-PA-10,2.04116,132.47358
Fr-PA-10,2.06792,134.08866
Fr-PA-10,2.0979,135.66648
Fr-PA-10,2.12437,137.34488
Fr-PA-10,2.15181,138.51103
Fr-PA-10,2.179,140.141
Fr-PA-10,2.20796,141.2941
Fr-PA-10,2.23447,142.69122
