condition,relative_time_fraction,relative_time_s,ecg_mV,source_file,source_block,source_start_s,source_stop_s,display_note
Baseline,0.0,0.0,-1.731797,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0003,0.009,-1.473047,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0003333,0.009999000000000001,-1.442109,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0006333,0.018999000000000002,-1.262813,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0007333,0.021999,-1.249453,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0009667,0.029001,-1.323984,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.001,0.03,-1.333125,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0013,0.039,-1.432969,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0014,0.042,-1.430156,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0016,0.048,-1.447031,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0016667,0.050001,-1.442813,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0019667,0.059001,-1.36125,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.002,0.06,-1.331719,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0023,0.069,-1.011797,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0023333,0.069999,-0.9682031,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0026333,0.078999,-0.5667188,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0026667,0.080001,-0.5175,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0029667,0.089001,-0.1659375,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.003,0.09,-0.1342969,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0033,0.099,0.0260156,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0034333,0.102999,0.0590625,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0036333,0.108999,0.0210938,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0036667,0.110001,0.0182812,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0039667,0.119001,-0.1715625,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.004,0.12,-0.2003906,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0043,0.129,-0.3142969,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0043667,0.131001,-0.3192188,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0046333,0.13899899999999998,-0.2432813,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0046667,0.14000100000000001,-0.2144531,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0049667,0.149001,0.0070313,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.005,0.15,0.0625781,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0053,0.159,0.5083594,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0053333,0.159999,0.5273438,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0055333,0.16599899999999998,0.6285938,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0056667,0.170001,0.5533594,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0058,0.174,0.5182031,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.006,0.18,0.5392969,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0063,0.189,0.675,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0063333,0.189999,0.6911719,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
Baseline,0.0066333,0.198999,0.8557031,03esmolol  pacing pig.txt,4,1671.0,1701.0,stable pre-esmolol window selected by raw-envelope audit
