group,displacement_mm,tensile_adhesion_kPa
Fr-PA-10,0.025,4.6243
Fr-PA-10,0.05225,8.45894
Fr-PA-10,0.08013,11.89093
Fr-PA-10,0.10649,14.87818
Fr-PA-10,0.13467,17.40958
Fr-PA-10,0.16377,19.44612
Fr-PA-10,0.21816,20.9512
Fr-PA-10,0.21816,20.9512
Fr-PA-10,0.27378,21.81025
Fr-PA-10,0.27378,21.81025
Fr-PA-10,0.30122,22.4628
Fr-PA-10,0.33027,22.99864
Fr-PA-10,0.38447,23.13267
Fr-PA-10,0.38447,23.13267
Fr-PA-10,0.41187,22.60055
Fr-PA-10,0.44106,21.88523
Fr-PA-10,0.46758,21.40955
Fr-PA-10,0.49531,21.34864
Fr-PA-10,0.55039,21.24609
Fr-PA-10,0.55039,21.24609
Fr-PA-10,0.57876,21.04993
Fr-PA-10,0.60791,20.7923
Fr-PA-10,0.63428,20.50058
Fr-PA-10,0.69067,20.1839
Fr-PA-10,0.69067,20.1839
Fr-PA-10,0.71699,19.43262
Fr-PA-10,0.74512,18.20184
Fr-PA-10,0.77427,17.43845
Fr-PA-10,0.80068,16.6243
Fr-PA-10,0.83052,16.27372
Fr-PA-10,0.85698,16.11212
Fr-PA-10,0.88433,15.93459
Fr-PA-10,0.91143,15.73331
Fr-PA-10,0.94028,15.33522
Fr-PA-10,0.96689,15.05896
Fr-PA-10,0.99673,14.81149
Fr-PA-10,1.02324,14.541
Fr-PA-10,1.05059,14.26596
Fr-PA-10,1.08022,14.06728
Fr-PA-10,1.10654,13.95635
Fr-PA-10,1.1332,13.86787
Fr-PA-10,1.18965,13.63716
Fr-PA-10,1.18965,13.63716
Fr-PA-10,1.21694,13.51216
Fr-PA-10,1.24443,13.39163
Fr-PA-10,1.27246,13.2576
Fr-PA-10,1.30073,13.13969
Fr-PA-10,1.32959,13.00128
Fr-PA-10,1.35581,12.81984
Fr-PA-10,1.38325,12.64799
Fr-PA-10,1.41323,12.54414
Fr-PA-10,1.4396,12.47689
Fr-PA-10,1.46685,12.41914
Fr-PA-10,1.4959,12.3314
Fr-PA-10,1.52227,12.19737
Fr-PA-10,1.55034,12.04294
Fr-PA-10,1.57944,11.8711
Fr-PA-10,1.60591,11.70633
Fr-PA-10,1.63403,11.63778
Fr-PA-10,1.66211,11.59931
Fr-PA-10,1.68979,11.56727
Fr-PA-10,1.71689,11.54035
Fr-PA-10,1.74561,11.50896
Fr-PA-10,1.77236,11.46407
Fr-PA-10,1.80254,11.3685
Fr-PA-10,1.82881,11.20252
Fr-PA-10,1.85562,11.11153
Fr-PA-10,1.88364,11.04735
Fr-PA-10,1.91182,11.00767
Fr-PA-10,1.93911,10.98392
Fr-PA-10,1.9666,10.95896
Fr-PA-10,1.99551,10.93782
Fr-PA-10,2.0229,10.92496
Fr-PA-10,2.05024,10.91276
Fr-PA-10,2.07832,10.90056
Fr-PA-10,2.10562,10.8865
Fr-PA-10,2.13535,10.8756
Fr-PA-10,2.16177,10.85697
Fr-PA-10,2.18906,10.83778
Fr-PA-10,2.21899,10.82428
Fr-PA-10,2.24463,10.81338
Fr-PA-10,2.27285,10.79354
Fr-PA-10,2.30181,10.78134
Fr-PA-10,2.32822,10.78069
Fr-PA-10,2.35552,10.78069
Fr-PA-10,2.38564,10.77687
Fr-PA-10,2.41128,10.76979
Fr-PA-10,2.4395,10.7615
Fr-PA-10,2.46841,10.75572
Fr-PA-10,2.49502,10.74287
Fr-PA-10,2.52217,10.7166
Fr-PA-10,2.55176,10.68205
Fr-PA-10,2.57837,10.62235
Fr-PA-10,2.60591,10.5455
Fr-PA-10,2.63481,10.4871
Fr-PA-10,2.66138,10.44798
Fr-PA-10,2.68975,10.407
Fr-PA-10,2.71802,10.38008
Fr-PA-10,2.74438,10.33584
Fr-PA-10,2.77271,10.30119
Fr-PA-10,2.80156,10.28648
Fr-PA-10,2.82813,10.2794
Fr-PA-10,2.85625,10.27372
Fr-PA-10,2.88447,10.2685
Fr-PA-10,2.91104,10.25825
Fr-PA-10,2.93901,10.25509
Fr-PA-10,2.96816,10.25127
Fr-PA-10,2.99458,10.23972
Fr-PA-10,3.02222,10.2237
Fr-PA-10,3.05132,10.20833
Fr-PA-10,3.07847,10.18458
Fr-PA-10,3.10566,10.15505
Fr-PA-10,3.13462,10.13968
Fr-PA-10,3.16118,10.13326
Fr-PA-10,3.19102,10.12683
Fr-PA-10,3.21753,10.12562
Fr-PA-10,3.24478,10.11985
Fr-PA-10,3.27456,10.11407
Fr-PA-10,3.30112,10.09991
Fr-PA-10,3.32778,10.08715
Fr-PA-10,3.35737,10.07812
Fr-PA-10,3.38398,10.06536
Fr-PA-10,3.41143,10.05446
Fr-PA-10,3.43882,10.04421
Fr-PA-10,3.46694,10.03518
Fr-PA-10,3.49512,10.02754
Fr-PA-10,3.52397,10.02112
Fr-PA-10,3.55034,10.01469
Fr-PA-10,3.57783,10.01022
Fr-PA-10,3.60762,10.00444
Fr-PA-10,3.6333,9.99997
Fr-PA-10,3.66138,9.9955
Fr-PA-10,3.69048,9.98581
Fr-PA-10,3.7167,9.96402
Fr-PA-10,3.74395,9.94288
Fr-PA-10,3.77402,9.92751
Fr-PA-10,3.80059,9.91279
Fr-PA-10,3.82788,9.90189
Fr-PA-10,3.85708,9.88904
Fr-PA-10,3.88345,9.87302
